index,Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Mean of T,Variance of T,Region of Failure
15,3,0,-1.0,-1.0,6976.340000000001,-1,100.0,400.0,90,100.0,6120.0,600,856.340000000001,1932.2201323645688,0,1,0,2,0,0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,2.3333333333333335,0.8888888888888875,"[3, 1, 3]"
16,2,50,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,100.0,6137.0,100,839.340000000001,2064.4752681792083,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,"[5, 5]"
17,2,50,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,100.0,6135.0,100,841.340000000001,2079.389819321851,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.5,2.5,6.25,"[0, 5]"
18,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6166.0,300,810.340000000001,2004.5545508523505,1,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.9999999999999998,4.666666666666667,"[0, 5, 1]"
19,4,0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,33,50.0,6186.0,350,790.340000000001,1974.8147980387294,1,2,0,0,0,1,0.25,0.5,0.0,0.0,0.0,0.25,1.75,3.6875,"[0, 5, 1, 1]"
20,5,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,7,50.0,6180.0,400,796.340000000001,1943.279031368945,1,2,0,0,1,1,0.2,0.4,0.0,0.0,0.2,0.2,2.2,3.759999999999999,"[0, 5, 1, 1, 4]"
21,2,50,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,100.0,6137.0,100,839.340000000001,2063.455416568216,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,"[5, 5]"
22,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,250.0,6137.0,250,839.340000000001,2063.902767078471,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,"[5, 5]"
23,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6165.0,450,811.340000000001,2004.0734374718566,0,1,0,0,0,2,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3.6666666666666665,3.5555555555555536,"[5, 5, 1]"
24,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,33,50.0,6193.0,500,783.340000000001,1958.234310710368,0,2,0,0,0,2,0.0,0.5,0.0,0.0,0.0,0.5,3.0,4.0,"[5, 5, 1, 1]"
25,2,400,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,500.0,6159.0,500,817.340000000001,1905.041022143825,0,0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,"[3, 3]"
26,2,400,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,800.0,6156.0,800,820.340000000001,1955.8511599043206,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[5, 3]"
27,3,0,-1.0,-1.0,6976.340000000001,3,200.0,400.0,38,200.0,6148.0,1000,828.340000000001,1947.898054769678,0,1,0,1,0,1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3.0,2.666666666666666,"[5, 3, 1]"
28,4,0,-1.0,-1.0,6976.340000000001,4,50.0,400.0,33,50.0,6157.0,1050,819.340000000001,1884.5874328694758,0,2,0,1,0,1,0.0,0.5,0.0,0.25,0.0,0.25,2.5,2.75,"[5, 3, 1, 1]"
29,5,0,-1.0,-1.0,6976.340000000001,5,50.0,400.0,31,200.0,6199.0,1250,777.340000000001,1780.8035080600368,0,3,0,1,0,1,0.0,0.6,0.0,0.2,0.0,0.2,2.2,2.5599999999999996,"[5, 3, 1, 1, 1]"
30,6,0,-1.0,-1.0,6976.340000000001,6,50.0,400.0,138,50.0,6200.0,1300,776.340000000001,1781.7850648295232,0,3,0,1,0,2,0.0,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,2.6666666666666665,3.2222222222222214,"[5, 3, 1, 1, 1, 5]"
31,7,0,-1.0,-1.0,6976.340000000001,7,50.0,400.0,139,100.0,6198.0,1400,778.340000000001,1777.1953649244674,0,3,0,1,0,3,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.42857142857142855,3.0,3.428571428571427,"[5, 3, 1, 1, 1, 5, 5]"
32,8,0,-1.0,-1.0,6976.340000000001,8,50.0,400.0,7,50.0,6199.0,1450,777.340000000001,1747.9179951962296,0,3,0,1,1,3,0.0,0.375,0.0,0.125,0.125,0.375,3.125,3.109375,"[5, 3, 1, 1, 1, 5, 5, 4]"
33,9,0,-1.0,-1.0,6976.340000000001,9,50.0,400.0,142,50.0,6199.0,1500,777.340000000001,1750.2394114421388,0,3,0,1,1,4,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,3.3333333333333335,3.111111111111109,"[5, 3, 1, 1, 1, 5, 5, 4, 5]"
34,10,0,-1.0,-1.0,6976.340000000001,10,50.0,400.0,90,100.0,6152.0,1600,824.340000000001,1733.671378396862,0,3,0,2,1,4,0.0,0.3,0.0,0.2,0.1,0.4,3.3000000000000003,2.809999999999997,"[5, 3, 1, 1, 1, 5, 5, 4, 5, 3]"
35,11,0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,110,50.0,6151.0,1650,825.340000000001,1718.0648553707558,1,3,0,2,1,4,0.09090909090909091,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.36363636363636365,3.0,3.454545454545455,"[5, 3, 1, 1, 1, 5, 5, 4, 5, 3, 0]"
36,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6217.0,150,759.340000000001,2063.0463810095575,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"[2, 2]"
37,3,0,-1.0,-1.0,6976.340000000001,3,50.0,100.0,137,50.0,6217.0,200,759.340000000001,2061.882459290262,0,0,2,0,0,1,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3.0,1.9999999999999982,"[2, 2, 5]"
38,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6231.0,400,745.340000000001,2007.6383750007506,0,1,2,0,0,1,0.0,0.25,0.5,0.0,0.0,0.25,2.5,2.25,"[2, 2, 5, 1]"
39,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,200.0,6160.0,200,816.340000000001,2021.4078570694403,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[5, 3]"
40,2,200,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,250.0,6169.0,250,807.340000000001,2053.693783841466,0,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0,2.5,2.25,"[4, 1]"
41,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,150.0,6141.0,150,835.340000000001,2069.481064989718,0,1,0,0,0,1,0.0,0.5,0.0,0.0,0.0,0.5,3.0,4.0,"[1, 5]"
42,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6134.0,150,842.340000000001,2051.9231070716455,1,0,0,0,1,0,0.5,0.0,0.0,0.0,0.5,0.0,2.0,4.0,"[4, 0]"
43,3,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6160.0,350,816.340000000001,1985.9536248010818,1,1,0,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.6666666666666665,2.888888888888889,"[4, 0, 1]"
44,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,250.0,6137.0,250,839.340000000001,2063.877466356401,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,"[5, 5]"
45,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6165.0,450,811.340000000001,2004.0735399923315,0,1,0,0,0,2,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3.6666666666666665,3.5555555555555536,"[5, 5, 1]"
46,4,0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,9,50.0,6158.0,500,818.340000000001,1952.5665456880047,0,1,0,0,1,2,0.0,0.25,0.0,0.0,0.25,0.5,3.75,2.6875,"[5, 5, 1, 4]"
47,5,0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,21,50.0,6174.0,550,802.340000000001,1954.962752570132,0,1,0,0,2,2,0.0,0.2,0.0,0.0,0.4,0.4,3.8,2.160000000000002,"[5, 5, 1, 4, 4]"
48,6,0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,90,100.0,6179.0,650,797.340000000001,1951.620327222021,0,1,0,1,2,2,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,3.6666666666666665,1.8888888888888893,"[5, 5, 1, 4, 4, 3]"
49,7,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,33,50.0,6189.0,700,787.340000000001,1926.886272934189,0,2,0,1,2,2,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,3.2857142857142856,2.4897959183673475,"[5, 5, 1, 4, 4, 3, 1]"
50,2,400,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,450.0,6209.0,450,767.340000000001,2066.9843123291903,0,0,0,1,1,0,0.0,0.0,0.0,0.5,0.5,0.0,3.5,0.25,"[4, 3]"
51,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6137.0,150,839.340000000001,2067.347878129349,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.5,2.5,6.25,"[0, 5]"
52,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6166.0,350,810.340000000001,2004.0429565706834,1,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.9999999999999998,4.666666666666667,"[0, 5, 1]"
53,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,109,50.0,6160.0,400,816.340000000001,1965.4668694649454,1,2,0,0,0,1,0.25,0.5,0.0,0.0,0.0,0.25,1.75,3.6875,"[0, 5, 1, 1]"
54,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6138.0,150,838.340000000001,2082.1809241883266,0,1,1,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,0.25,"[1, 2]"
55,3,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6177.0,350,799.340000000001,1987.1165679963538,0,2,1,0,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.22222222222222232,"[1, 2, 1]"
56,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6144.0,150,832.340000000001,2059.573898964295,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5,0.5,4.5,0.25,"[5, 4]"
57,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6171.0,350,805.340000000001,2000.5148107743735,0,1,0,0,1,1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,3.333333333333333,2.8888888888888893,"[5, 4, 1]"
58,4,0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,33,50.0,6168.0,400,808.340000000001,1950.2504405105965,0,2,0,0,1,1,0.0,0.5,0.0,0.0,0.25,0.25,2.75,3.1875,"[5, 4, 1, 1]"
59,5,0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,90,100.0,6164.0,500,812.340000000001,1946.7717478679735,0,2,0,1,1,1,0.0,0.4,0.0,0.2,0.2,0.2,2.8,2.5600000000000014,"[5, 4, 1, 1, 3]"
60,6,0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,31,200.0,6191.0,700,785.340000000001,1852.5927514519117,0,3,0,1,1,1,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.5,2.583333333333332,"[5, 4, 1, 1, 3, 1]"
61,7,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,138,50.0,6191.0,750,785.340000000001,1852.6004888648097,0,3,0,1,1,2,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,2.8571428571428568,2.979591836734695,"[5, 4, 1, 1, 3, 1, 5]"
62,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,250.0,6161.0,250,815.340000000001,2060.781532770137,0,0,1,0,0,1,0.0,0.0,0.5,0.0,0.0,0.5,3.5,2.25,"[2, 5]"
63,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6181.0,450,795.340000000001,2000.3020742127617,0,1,1,0,0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,2.6666666666666665,2.8888888888888875,"[2, 5, 1]"
64,4,0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,7,50.0,6169.0,500,807.340000000001,1947.1461132956226,0,1,1,0,1,1,0.0,0.25,0.25,0.0,0.25,0.25,3.0,2.5,"[2, 5, 1, 4]"
65,5,0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,137,50.0,6169.0,550,807.340000000001,1946.8103462309184,0,1,1,0,1,2,0.0,0.2,0.2,0.0,0.2,0.4,3.4000000000000004,2.639999999999997,"[2, 5, 1, 4, 5]"
66,6,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,33,50.0,6180.0,600,796.340000000001,1936.0802219959717,0,2,1,0,1,2,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,3.0,2.9999999999999982,"[2, 5, 1, 4, 5, 1]"
67,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,300.0,6158.0,300,818.340000000001,2061.4358740629696,0,0,0,1,1,0,0.0,0.0,0.0,0.5,0.5,0.0,3.5,0.25,"[3, 4]"
68,3,0,-1.0,-1.0,6976.340000000001,3,100.0,200.0,38,200.0,6164.0,500,812.340000000001,1968.0981948907447,0,1,0,1,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.6666666666666665,1.5555555555555554,"[3, 4, 1]"
69,4,0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,138,50.0,6164.0,550,812.340000000001,1968.0987265616793,0,1,0,1,1,1,0.0,0.25,0.0,0.25,0.25,0.25,3.25,2.1875,"[3, 4, 1, 5]"
70,5,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,33,50.0,6205.0,600,771.340000000001,1959.4749990761215,0,2,0,1,1,1,0.0,0.4,0.0,0.2,0.2,0.2,2.8,2.5600000000000014,"[3, 4, 1, 5, 1]"
71,2,400,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,450.0,6136.0,450,840.340000000001,2073.0167528525008,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[3, 5]"
72,2,200,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,300.0,6172.0,300,804.340000000001,2060.7216003645935,0,0,1,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,3.0,1.0,"[4, 2]"
73,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,300.0,6154.0,300,822.340000000001,1987.038684211872,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,2.0,1.0,"[3, 1]"
74,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,137,50.0,6154.0,350,822.340000000001,1985.7008860500534,0,1,0,1,0,1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3.0,2.666666666666666,"[3, 1, 5]"
75,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,142,50.0,6154.0,400,822.340000000001,1988.8842919944225,0,1,0,1,0,2,0.0,0.25,0.0,0.25,0.0,0.5,3.5,2.75,"[3, 1, 5, 5]"
76,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,200.0,6137.0,200,839.340000000001,2069.3034544821307,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,"[0, 2]"
77,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6160.0,150,816.340000000001,2020.4484741292652,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[5, 3]"
78,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6167.0,350,809.340000000001,1999.7703512684102,0,1,0,1,0,1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3.0,2.666666666666666,"[5, 3, 1]"
79,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,33,50.0,6202.0,400,774.340000000001,1924.7650540657341,0,2,0,1,0,1,0.0,0.5,0.0,0.25,0.0,0.25,2.5,2.75,"[5, 3, 1, 1]"
80,2,400,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,600.0,6094.0,600,882.340000000001,1902.1802569985985,0,0,0,1,1,0,0.0,0.0,0.0,0.5,0.5,0.0,3.5,0.25,"[4, 3]"
81,3,0,-1.0,-1.0,6976.340000000001,3,50.0,400.0,107,50.0,6092.0,650,884.340000000001,1868.3721383696266,0,0,0,2,1,0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3.333333333333333,0.2222222222222232,"[4, 3, 3]"
82,4,0,-1.0,-1.0,6976.340000000001,4,50.0,400.0,98,50.0,6092.0,700,884.340000000001,1830.2901383280487,0,0,1,2,1,0,0.0,0.0,0.25,0.5,0.25,0.0,3.0,0.5,"[4, 3, 3, 2]"
83,5,0,-1.0,-1.0,6976.340000000001,5,50.0,400.0,38,200.0,6111.0,900,865.340000000001,1908.6400501034566,0,1,1,2,1,0,0.0,0.2,0.2,0.4,0.2,0.0,2.6000000000000005,1.0399999999999974,"[4, 3, 3, 2, 1]"
84,6,0,-1.0,-1.0,6976.340000000001,6,50.0,400.0,9,50.0,6110.0,950,866.340000000001,1901.535581386144,0,1,1,2,2,0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,2.833333333333333,1.1388888888888893,"[4, 3, 3, 2, 1, 4]"
85,7,0,-1.0,-1.0,6976.340000000001,7,50.0,400.0,33,50.0,6104.0,1000,872.340000000001,1822.550339267353,0,2,1,2,2,0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,2.571428571428571,1.3877551020408179,"[4, 3, 3, 2, 1, 4, 1]"
86,8,0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,31,200.0,6106.0,1200,870.340000000001,1566.652905744599,0,3,1,2,2,0,0.0,0.375,0.125,0.25,0.25,0.0,2.375,1.484375,"[4, 3, 3, 2, 1, 4, 1, 1]"
87,2,50,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,100.0,6151.0,100,825.340000000001,2082.4030435588124,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5,0.5,4.5,0.25,"[5, 4]"
88,3,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6204.0,300,772.340000000001,2008.4269154849371,0,1,0,0,1,1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,3.333333333333333,2.8888888888888893,"[5, 4, 1]"
89,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,150.0,6135.0,150,841.340000000001,2064.430261555128,0,0,1,0,0,1,0.0,0.0,0.5,0.0,0.0,0.5,3.5,2.25,"[2, 5]"
90,2,200,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,300.0,6134.0,300,842.340000000001,2038.0476277808827,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5,0.5,4.5,0.25,"[4, 5]"
91,2,800,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,1000.0,6130.0,1000,846.340000000001,2150.5976094249304,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5,0.5,4.5,0.25,"[5, 4]"
92,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,250.0,6098.0,250,878.340000000001,2072.0970520579303,0,0,1,0,0,1,0.0,0.0,0.5,0.0,0.0,0.5,3.5,2.25,"[5, 2]"
93,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6117.0,450,859.340000000001,2001.755308717249,0,1,1,0,0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,2.6666666666666665,2.8888888888888875,"[5, 2, 1]"
94,4,0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,33,50.0,6126.0,500,850.340000000001,1962.4672583289323,0,2,1,0,0,1,0.0,0.5,0.25,0.0,0.0,0.25,2.25,2.6875,"[5, 2, 1, 1]"
95,5,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,108,50.0,6129.0,550,847.340000000001,1967.602718044416,1,2,1,0,0,1,0.2,0.4,0.2,0.0,0.0,0.2,1.8,2.96,"[5, 2, 1, 1, 0]"
96,2,400,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,600.0,6422.0,600,554.340000000001,1852.8414817802538,0,0,0,1,1,0,0.0,0.0,0.0,0.5,0.5,0.0,3.5,0.25,"[4, 3]"
97,3,0,-1.0,-1.0,6976.340000000001,3,200.0,400.0,38,200.0,6348.0,800,628.340000000001,1880.324373389971,0,1,0,1,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.6666666666666665,1.5555555555555554,"[4, 3, 1]"
98,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,33,50.0,6336.0,850,640.340000000001,1824.6017445158936,0,2,0,1,1,0,0.0,0.5,0.0,0.25,0.25,0.0,2.25,1.6875,"[4, 3, 1, 1]"
99,2,50,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,100.0,6136.0,100,840.340000000001,2117.5503641792416,0,1,1,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,0.25,"[2, 1]"
100,3,0,-1.0,-1.0,6976.340000000001,-1,50.0,50.0,7,50.0,6146.0,150,830.340000000001,2094.640659411185,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,2.333333333333333,1.5555555555555571,"[2, 1, 4]"
101,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,250.0,6117.0,250,859.340000000001,2038.9336496440524,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,"[4, 4]"
102,3,0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6174.0,450,802.340000000001,1981.1252733134227,0,1,0,0,2,0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,3.0,2.0,"[4, 4, 1]"
